"Stichtag","0bis17","18bis25","26bis35","36bis45","46bis55","56bis64","65bis69","70bis74","75bis79","80bis84","85bis89","90+"
"2017-12-30",215,320,770,1065,1994,2373,2235,1972,1747,1649,1533,1468
"2018-03-30",206,284,743,1015,1912,2234,2219,2044,1767,1642,1564,1675
"2018-06-30",217,305,755,1023,1912,2308,2263,2046,1766,1630,1570,1603
"2018-09-30",239,306,768,1052,1917,2382,2296,2034,1755,1621,1547,1546
"2018-12-30",252,330,782,1060,1927,2441,2323,2044,1757,1615,1525,1468
"2019-03-30",231,307,759,1024,1816,2296,2267,2101,1820,1635,1517,1656
"2019-06-30",240,328,774,1023,1834,2337,2294,2108,1814,1655,1502,1598
"2019-09-30",242,312,783,1032,1860,2411,2327,2117,1805,1646,1493,1526
"2019-12-30",253,338,779,1034,1868,2467,2353,2119,1806,1637,1480,1483
"2020-03-30",232,326,749,993,1773,2358,2288,2230,1870,1593,1482,1683
"2020-06-30",231,344,761,1009,1793,2408,2320,2230,1862,1586,1450,1566
"2020-09-30",237,319,759,1018,1794,2468,2341,2227,1865,1581,1449,1510
"2020-12-30",249,343,779,1042,1793,2546,2365,2228,1860,1579,1426,1424
"2021-03-30",223,342,737,1010,1709,2342,2372,2312,1862,1595,1398,1501
"2021-06-30",230,372,739,1042,1724,2393,2390,2315,1873,1589,1366,1461
"2021-09-30",226,348,754,1038,1743,2450,2404,2300,1857,1565,1342,1415
"2021-12-30",229,351,755,1054,1755,2488,2399,2291,1840,1540,1317,1341
"2022-03-30",206,316,714,1052,1630,2357,2308,2370,1873,1595,1321,1523

